Stelling;Verkorte omschrijving;Antwoord CD&V;Motivatie CD&V;Antwoord Groen;Motivatie Groen;Antwoord N-VA;Motivatie N-VA;Antwoord Open VLD;Motivatie Open VLD;Antwoord Sp.a;Motivatie Sp.a;Antwoord Vlaams Belang;Motivatie Vlaams Belang;Antwoord PvdA;Motivatie PvdA
De erfenisbelastingen moeten verder dalen;Erfenisbelasting;0;De erfenisrechten zijn deze legislatuur al fors verlaagd. Deze inkomsten zijn een belangrijk onderdeel van de Vlaamse begroting, waarmee we bijvoorbeeld onderwijs en welzijn financieren.;1;Erfenisbelastingen raken vooral de middenklasse en onverwachte overlijdens. De grote vermogens gebruiken massaal (perfect legale) ontwijkingsmogelijkheden. De invoering van een vermogensrendementsheffing maakt de erfbelasting overbodig.;1;De erfbelasting is nog steeds hoog en willen we verder verlagen;1;Erfenissen zijn het resultaat van jarenlang werken, sparen en ondernemen. We zetten daarom opnieuw in op een verdere verlaging van de successierechten, waarbij minstens een eerste schijf steeds is vrijgesteld van belasting.;1;We willen dat iedereen gedurende zijn of haar leven 250.000 euro belastingvrij kan erven of verwerven uit schenkingen. Dat is perfect betaalbaar als we de achterpoorten sluiten die grote vermogens vandaag gebruiken om geen erfbelasting te betalen.;1;Wij zijn principieel gekant tegen het heffen van successierechten en belastingen op nalatenschappen. Gedurende heel hun samenstellingsproces werden deze immers al aan alle mogelijke vormen van belasting onderworpen. ;1;We pleiten voor een sterkere progressiviteit bij erfenisbelastingen, zodat de sterkste schouders effectief de zwaarste lasten dragen. We zorgen er ook voor dat miljonairs de successierechten niet langer kunnen ontwijken.
Vlaanderen moet Catalonië steunen in zijn stappen naar onafhankelijkheid;Catalonië steunen;0;De institutionele afspraken tussen Spanje en zijn deelstaat Catalonië worden in Spanje gemaakt. Wij hebben ook niet graag dat andere landen zich mengen in onze communautaire uitdagingen.;0;De Catalaanse kwestie is een Spaanse aangelegenheid. Vlaanderen heeft daar geen rol te spelen. Vlaanderen wel kan aandringen op meer overleg en zich kan uitspreken tegen het gebruik van geweld langs twee kanten.;1;Elk volk heeft het recht zijn eigen toekomst te kiezen: we steunen dus onomwonden het zelfbeschikkingsrecht van de Catalanen en de vreedzame en democratische onafhankelijkheidsbeweging in Catalonië. We sporen de EU aan tot meer respect. ;0;We roepen op tot een politieke dialoog om het conflict te ontmijnen, maar we mengen ons niet in een onafhankelijksdiscussie binnen andere Europese lidstaten. We zouden dat omgekeerd ook niet op prijs stellen.;0;Vlaanderen moet geen buitenlandse conflicten importeren. We garanderen respect voor de politieke rechten, maar spreken ons over de zaak niet uit.;1;Onze partij steunt de Catalanen ten volle in hun streven naar een onafhankelijke en soevereine Catalaanse republiek en nodigt Vlaanderen uit het zelfbeschikkingsrecht van de Catalanen te respecteren en de Catalaanse republiek te erkennen.;0;We zijn solidair met de slachtoffers van de repressie. De Spaanse regering is de grootste verantwoordelijke voor de escalatie. Maar seperatisme steunen we niet. Daar wordt de Catalaanse elite beter van, maar niet de gewone bevolking.
Er moeten evenveel vrouwen als mannen in de Vlaamse regering zitten;Vrouwen en mannen in regering;0;De gelijke vertegenwoordiging van mannen en vrouwen in de politiek is een belangrijk streefdoel. Onze partij pleit daarom voor een verplichte vertegenwoordig van minstens 1/3de personen van het andere geslacht in de regering. ;1;Gelijke vertegenwoordiging van vrouwen en mannen zou een evidentie moeten zijn, maar is dat jammer genoeg nog niet. Laten we op regeringsniveau het goede voorbeeld geven en dat doortrekken naar alle colleges van burgemeesters en schepenen.;0;De meest bekwame persoon moet het mandaat krijgen. Geslacht, afkomst, beperking en dergelijke mogen daarbij geen enkele rol spelen.;1;Vrouwen maken ongeveer de helft van de bevolking uit. Het is dan ook logisch dat zij de helft van de ministermandaten kunnen bekleden. Dat zou een streefdoel moeten zijn voor alle partijen.;1;Er zijn evenveel mannen als vrouwen. Het is dan ook logisch dat elke regering, en bij uitbreiding alle uitvoerende besturen, voor de helft uit vrouwen zijn samengesteld. ;0;De Vlaamse regering moet niet gevormd worden op basis van een afweging tussen het aantal mannen en het aantal vrouwen, maar op basis van het engagement, de zin voor initiatief en de bekwaamheid van de kandidaat-ministers.;1;Wij zijn voorstander van de gelijkheid tussen mannen en vrouwen. Quota invoeren voor een 50/50 verhouding is efficiënt en doeltreffend. Enkel door het voorbeeld te geven tonen we dat gelijkheid de norm is.
Scholen moeten kinderen verplichten om ook op de speelplaats Nederlands te praten;Verplicht Nederlands op speelplaats;1;Scholen kunnen in het schoolreglement opnemen dat Nederlands tijdens de schooluren de voertaal is. Het is wel zo dat scholen geen sancties kunnen nemen die het leerrecht schaden (schorsing kan bijvoorbeeld niet).;0;Goede en snelle verwerving van het Nederlands staat voor ons voorop. Kinderen straffen omdat ze hun moedertaal spreken werkt contraproductief: zowel voor de verwerving van het Nederlands als voor de verdere schoolse prestaties.;1;Privé kan iemand een andere taal spreken, maar het streefdoel moet zijn om competente jongeren op te leiden, die de taal spreken waar de arbeidsmarkt om vraagt. We moeten één samenleving smeden en dan verbindt het Nederlands ons allemaal. ;0;De kennis van het Nederlands is essentieel. Het zorgt er voor dat je mee kan in Vlaanderen, daarom is het de onderwijstaal. Maar op de speelplaats moeten kinderen ook kunnen ontspannen en zichzelf zijn.;0;Nederlands is en blijft dé onderwijstaal. Met ambitieuze en bindende eindtermen zorgen we voor een goede kennis bij alle leerlingen. Het bestraffen van de thuistaal op de speelplaats werkt enkel contraproductief.;1;Onze partij drukt erop dat in onze scholen het Nederlands de voertaal moet zijn en de enige omgangstaal tussen de leerlingen onderling, in de klas en op de speelplaats. Dat geldt eveneens voor de leerkrachten en in contacten met de ouders.;0;We zorgen dat alle kinderen in de klas zo goed mogelijk Nederlands leren. Kinderen verbieden om hun moedertaal te spreken op de speelplaats is contraproductief. Kinderen die zich gerespecteerd voelen leren sneller Nederlands, weten we uit onderzoek.
De inkomensgrens voor huursubsidies moet omhoog, zodat meer mensen er recht op hebben;Meer mensen huursubsidies;1;Wie het moeilijk heeft, verdient extra steun.;1;Wie recht heeft op een sociale woning, maar er door het tekort geen kan huren, is toegewezen op de veel duurdere private huurmarkt. Onze partij voorziet voor deze groep een huurtoelage. Dat gaat om 240.000 gezinnen.;0;We voorzien huursubsidies voor zij die er het meest nood aan hebben. Wij hebben de inkomensgrens opgetrokken tot het niveau van het inkomen dat sociale huurders mogen hebben. Zo bereiken we het beoogde doelpubliek.;1;Wij willen huursubsidies geleidelijk uitbreiden. Uiteraard is de uitbreiding van de doelgroep een evolutief proces. Het doel is om een huursubsidie toe te kennen vanaf het ogenblik dat iemand één jaar op een wachtlijst voor een sociale woning staat.;0;Meer dan 100.000 mensen wachten nu al op een sociale woning. Daarom willen we in de eerste plaats het aanbod vergroten. Dat doen we door huursubsidies te voorzien en 100.000 extra sociale woningen te bouwen.;1;Tot de realisatie van een voldoende aantal sociale woningen moet kwalitatieve private verhuur tegen betaalbare prijzen beter ondersteund worden. Wie recht heeft op een sociale woning en op een lange wachtlijst staat, moet een huursubsidie ontvangen.;1;Huursubsidies kunnen het verschil maken voor wie geen betaalbare woning vindt. Om de wooncrisis écht aan te pakken investeren we in meer sociale woningen. Zo werken we de wachtlijsten weg. We leggen maximumprijzen op voor private huurwoningen.
De Antwerpse haven moet verder kunnen uitbreiden;Antwerpse haven uitbreiden;1;Wel met aandacht voor de mobiliteit en de leefbaarheid.;0;De Antwerpse haven kan verder ontwikkelen zonder nieuwe ruimte in te nemen. We trekken nieuwe duurzame activiteiten aan op de bestaande, leegstaande terreinen.;1;Wij ondersteunen de verdere ontwikkeling van de Antwerpse haven als motor voor onze Vlaamse economie. Uiteraard doen we dat met oog voor leefbaarheid, natuur en milieu. De groei van onze haven zal duurzaam zijn.;1;De Antwerpse haven is dé economische motor van ons land. Het is van vitaal belang dat er voldoende capaciteit is om ook de grootste schepen te kunnen ontvangen. Een uitbreiding met respect voor de omwonenden en natuur moet dan ook mogelijk blijven. ;1;Investeringen in spoorinfrastructuur en binnenvaart zijn nodig zodat wegtrafiek niet toeneemt. De uitbreiding wordt niet overgelaten aan de markt, maar houdt rekening met de maatschappelijk beste optie waarbij ook de uitstoot wordt aangepakt. ;1;De haven van Antwerpen is van cruciaal belang voor de Vlaamse economie en is ook goed voor ruim 150.000 jobs. Voor de welvaart in Vlaanderen is het dan ook cruciaal dat deze haven kan blijven groeien.;1;Beter ruimtegebruik en uitbreiding van de Antwerpse haven zijn belangrijk voor de werkgelegenheid. Bij elke uitbreiding beschermen we waardevolle natuurgebieden, en overleggen we intensief met de betrokken actiegroepen.
De VRT mag bedrijven niet langer laten betalen om hun producten in programma's te tonen;VRT producten programma's;0;Het is gangbare praktijk dat bedrijven producenten betalen voor het tonen van producten in uitzendingen. VRT is in de grote meerderheid van de gevallen koper van uitzendingen en geen producent.;0;De VRT heeft nood aan een diversiteit van inkomsten, wil het als omroep niet te kwetsbaar worden. Met mate weliswaar, want het leeuwendeel van de inkomsten moet uiteraard van de overheid komen.;0;Product placement kan, binnen de grenzen van het mediadecreet. De VRT moet echter vooral de vastgelegde reclameplafonds respecteren, in plaats van ze voortdurend te overschrijden. ;0;De huidige regels voor product placement volstaan. De VRT informeert de kijker wanneer er betaald wordt om een product in een programma te doen verschijnen.;0;Onze partij is voorstander van een sterke openbare omroep die er voor iedereen is en waarin iedereen zich herkent. Om dat te garanderen pleiten we voor het behoud van de gemengde financiering.;1;De openbare omroep krijgt jaarlijks een ruime dotatie waarmee ze haar werking kan financieren. Wanneer reclame op de VRT wordt toegelaten, komt dit neer op een oneerlijke concurrentie voor private omroepen.  ;1;"""Product placement"" is niet de beste manier om programma's te financieren. Wij zorgen voor een betere publieke financiering van de openbare omroep, zodat programmamakers hun creativiteit in alle onafhankelijkheid kunnen ontplooien."
Als je een persoonlijke jobaanbieding van de VDAB weigert, moet je automatisch je uitkering verliezen;Jobaanbieding weigeren;0;Het kan niet de bedoeling zijn dat je automatische je uitkering verliest als je niet ingaat op een persoonlijke aanbieding. Het is immers niet gezegd dat de persoonlijke jobaanbieding ook een passende vacature is.;0;Eén persoonlijke aanbieding van de VDAB weigeren mag niet meteen leiden tot het verlies van de uitkering. Wanneer een werkzoekende systematisch weigert de afspraken te respecteren in het traject dat met de VDAB afgesproken is, is een schorsing te verantwoorden.   ;1;Wie een werkloosheidsuitkering krijgt, moet actief beschikbaar zijn voor de arbeidsmarkt. Wie dat weigert, dreigt (na een gesprek en een onderzoek) die uitkering te verliezen.;0;Werklozen moeten op maat worden geactiveerd naar een job. Eenmalige weigeringen van gepaste jobaanbiedingen mogen niet leiden tot het afnemen van uitkeringen. Wie herhaaldelijk en zonder gemotiveerde reden werk weigert, kan wel gesanctioneerd worden.;0;Werkonwilligen worden vandaag al geschorst. Wie geen gepaste job vindt maar wel blijft zoeken, heeft altijd recht op een uitkering. ;0;Het weigeren van een job kan vanzelfsprekend een element zijn in de beoordeling of iemand zijn uitkering kan behouden. Er kunnen echter gegronde redenen zijn waarom iemand een bepaalde job afwijst.;0;Het is vandaag al zo dat werkzoekenden een passende werkaanbieding niet zomaar kunnen weigeren. We helpen werklozen niet vooruit door nog strengere regels, wel door te investeren in volwaardige jobs en betere opleiding, stages en coaching.
De Vlaamse overheid moet praktijktesten doen om discriminatie bij het verhuren van woningen op te sporen;Praktijktesten discriminatie;1;Praktijktesten kunnen een onderdeel vormen van het non-discriminatiebeleid maar mogen niet het enige element zijn.;1;De meermaals aangetoonde discriminatie op de woningmarkt vereist een actiever optreden van de overheid. We leggen discriminatie bloot door mystery calls en praktijktesten. Dit is noodzakelijk om handhaving ernstig te nemen.;0;Wij vinden dat de sector zelf regels moet opstellen en hanteren zonder dat de overheid die oplegt. Praktijktesten kunnen als onderzoekinstrument bij strafrechtelijk onderzoek. We passen voor een algemene uitrol van praktijktesten. ;0;We geven de voorkeur aan een autoregulering door de sector. Maar we laten ook de lokale dynamiek spelen en geven steden en gemeenten het initiatiefrecht om een systeem van praktijktesten op te zetten indien de lokale nood daartoe aangevoeld wordt.;1;De structurele praktijktesten in Gent bewijzen dat discriminatie op de huurmarkt daalt wanneer verhuurders weten dat ze worden gecontroleerd.;0;Een verhuurder kiest vaak voor zekerheid en vertrouwdheid en moet de vrijheid hebben te verhuren aan wie hij zelf wil. Praktijktests komen neer op uitlokking. Sommige verhuurders zouden kunnen afhaken. Minder huurhuizen zou de prijzen omhoog jagen. ;1;Discriminatie op de huurmarkt is een groot probleem. Mensen met een migratieachtergrond, maar ook bijvoorbeeld mensen met een beperking, krijgen minder kansen. Onze partij pleit voor praktijktesten om discriminatie op te sporen en te bestraffen.
Leerkrachten die minder goed presteren, moeten makkelijker ontslagen kunnen worden;Leerkrachten ontslaan;1;Wie zijn job niet goed doet, moet daarvoor sanctie krijgen. Dat geldt voor elk beroep.;1;Van leerkrachten die niet goed functioneren worden leerlingen en collega-leerkrachten niet beter. De evaluatieprocedure en het ruimere HR-beleid willen we moderniseren. Resultaten van evaluaties worden vandaag in een heel beperkt aantal scholen gebruikt.;1;De evaluatieprocedures van leerkrachten en directies worden doorgelicht. Personeelsleden die ambitieus onderwijs ondanks begeleiding niet waar kunnen maken, worden geheroriënteerd naar een andere job.;1;Een goede leerkracht is de beste garantie op goed onderwijs. Daarom willen we goede leerkrachten beter belonen en is het niet nodig om mensen die niet geschikt zijn voor het onderwijs in het systeem te houden.;1;Leerkrachten die slecht presteren moeten ontslagen kunnen worden. Maar we moeten er vooral voor zorgen dat het niet zover hoeft te komen via een goed personeelsbeleid.   ;1;Zonder goede prestatie geen verloning. Dat geldt overal en moet ook van toepassing zijn in het onderwijs. Onze kinderen verdienen leerkrachten die zich inzetten. ;0;Leerkrachten kunnen vandaag al ontslagen worden na twee opeenvolgende negatieve evaluaties, ook als ze vastbenoemd zijn. Leerkrachten hebben recht op een eerlijke procedure en moeten de kans krijgen om zich te herpakken.
