Airbnb;Airbnb is een online platform waar mensen een kamer of appartement te huur kunnen aanbieden, voor een kort (toeristisch) verblijf.
asiel;Asiel is een vorm van internationale bescherming die mensen kunnen aanvragen in een ander land
asielaanvraag;Mensen die asiel willen krijgen in een ander land, moeten daarvoor een asielaanvraag indienen. In België gebeurt dit bij de Dienst Vreemdelingenzaken. Op het einde van de procedure kan een asielzoeker die aan de voorwaarden voldoet, erkend worden als vluchteling en mag hij in België verblijven.
asielzoekers;Asielzoekers zijn mensen die asiel aanvragen in een ander land. Asielzoekers kunnen erkend worden als vluchteling en kunnen dan in het land waar ze asiel hebben aangevraagd, blijven.
Belfius;Belfius is een Belgische bank waarvan de Belgische staat de aandeelhouder is. Belfius ontstond na de ontmanteling van Dexia, dat in 2011 ten onder ging tijdens de bankencrisis.
betonstop;In 2016 besliste de Vlaamse regering dat er vanaf 2040 geen bijkomende ruimte meer mag bebouwd worden om zo de open ruimte in Vlaanderen te sparen. Die beslissing wordt informeel 'de betonstop' genoemd.
boerkini;Een boerkini is een badpak dat het hele lichaam bedekt, behalve het gezicht, voeten en handen. Het badpak is bedoeld voor moslima’s die omwille van hun geloofsvoorschriften hun lichaam willen bedekt houden tijdens het zwemmen.
brugpensioen;Het vroegere brugpensioen heet tegenwoordig 'stelsel van werkloosheid met bedrijfstoeslag', kortweg SWT. Het is een werkloosheidsuitkering met een toeslag betaald door de werkgever, bedoeld voor oudere werknemers die ontslagen worden. Officieel gaat het niet om een brug naar het definitieve pensioen, SWT’ers verdwijnen niet van de arbeidsmarkt.
btw;Wie als consument een product of dienst koopt, betaalt op de gewone prijs een extra belasting, de belasting over de toegevoegde waarde. In België is het standaardtarief 21 procent, maar er zijn ook lagere tarieven van 12 of 6 procent.
CO2-uitstoot;Wanneer we fossiele brandstoffen (aardolie, aardgas of steenkool) verbranden – bijvoorbeeld tijdens het rijden met een auto met verbrandingsmotor – komt het gas CO2 vrij. Dat gas zorgt mee voor de opwarming van het klimaat.
collectief ontslaan;Wanneer een werkgever een bepaald aantal werknemers ontslaat die niet persoonlijk verantwoordelijk zijn voor hun ontslag, spreken we van een collectief ontslag. Veelal gaat het om een herstructurering van het bedrijf wegens economische redenen. De werkgever moet in dat geval een specifieke procedure volgen.
diplomatie;Staten en regeringen houden officieel contact met elkaar via diplomatie en schakelen daarvoor diplomaten in die hun landen vertegenwoordigen in het buitenland.
dubbele nationaliteit;Een persoon kan in sommige gevallen meer dan één nationaliteit bezitten. Dat is bijvoorbeeld het geval wanneer een buitenlander de Belgische nationaliteit krijgt, maar zijn oorspronkelijke nationaliteit behoudt.
erfenisrechten;Wie bij een overlijden een (deel van) de erfenis krijgt, zal hierop een belasting (successie- of erfenisrechten) moeten betalen.
